data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,4437,City of Covington - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,4471,Craig-Botetourt Electric Coop,Y,VA,PJM,2,,,,2,,,,,,,,,,,,,,,,,,,,
2024,4538,Crisp County Power Comm,,GA,SOCO,,100,5,,105,,Y,Y,,,,Y,,,,,,,,,,,,,
2024,4577,Crow Wing Cooperative Power & Light Comp,,MN,MISO,68,1,,,69,Y,Y,,,,,,,,,,,,,,,,,,
2024,4604,City of Crystal Falls,,MI,MISO,1330,273,0,0,1603,Y,Y,,,,,,,,,,,,,,,,,,
2024,4607,City of Cuba City,,WI,MISO,0,3,0,0,3,,Y,,,,,,,,,,,,,,,,,,
2024,4618,"Cullman Electric Coop, Inc",,AL,TVA,0,1,7,0,8,,Y,Y,,,,,,,,,,,,,,,,,
2024,4622,"Cumberland Valley Electric, Inc.",,KY,PJM,8,,,,8,Y,,,,,,,,,,,,,,,,,,,
2024,4624,Cumberland Elec Member Corp,,TN,TVA,0,0,12,0,12,,,Y,,,,,,,,,,,,,,,,,
2024,4671,Custer Public Power District,,NE,SWPP,,41,,,41,,Y,,,,,,,,,,,,,,,,,,
2024,4675,Cuivre River Electric Coop Inc,,MO,AECI,0,7,0,0,7,,,,,,,,,,,,,,Y,,,,,,
2024,4704,"DS&O Electric Cooperative, Inc.",Y,KS,SWPP,7288,136,3,,7427,,,,,,,,,,,,,,,,,,,,
2024,4794,City of Danville - (VA),,VA,PJM,5,,,,5,Y,,,,,,,,,,,,,,,,,,,
2024,4848,Daviess Martin County R E M C,,IN,MISO,14,,,,14,Y,,,,,,,,,,,,,,,,,,,
2024,4920,City of Dayton - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,4958,Decatur Utilities,,AL,TVA,0,1,6,0,7,,Y,Y,,,,,,,,,,,,,,,,,
2024,4960,Decatur County Rural E M C,,IN,MISO,1,,,,1,Y,,,,,,,,,,,,,,,,,,,
2024,5027,Delmarva Power,,DE,PJM,262638,16380,,,279018,,,,,,,,,,,,,,,,,Y,Y,,
2024,5027,Delmarva Power,,MD,PJM,129180,16,,,129196,,,,,,,,,,,,,,,,,Y,Y,,
2024,5063,City of Denton - (TX),,TX,ERCO,,1,1,,2,,,Y,,,Y,,,,,,,,,,,,,,
2024,5070,Delaware Electric Cooperative,,DE,PJM,6,1148,,,1154,Y,,,,,,,,,,,,,Y,,,,,,
2024,5078,"Denton County Elec Coop, Inc",,TX,ERCO,2409,332,76,,2817,Y,Y,Y,,,,,,,,,,,,,,,,,
