utility_characteristics_year,state,utility_number,utility_name,ba_code,photovoltaic_capacity_mw_type,photovoltaic_capacity_mw_residential,photovoltaic_capacity_mw_commercial,photovoltaic_capacity_mw_industrial,photovoltaic_capacity_mw_transportation,photovoltaic_capacity_mw_total,photovoltaic_installations_residential,photovoltaic_installations_commercial,photovoltaic_installations_industrial,photovoltaic_installations_transportation,photovoltaic_installations_total
2024,AZ,99999.0,Adjustment 2024,AZPS,,-96.119,-8.475,0,0,-104.594,,,,,
2024,AZ,99999.0,Adjustment 2024,PNM,,-0.008,,,,-0.008,,,,,
2024,AZ,99999.0,Adjustment 2024,SRP,,-14.304,-3.121,,,-17.425,,,,,
2024,AZ,99999.0,Adjustment 2024,TEPC,,-19.709,-3.758,0,0,-23.467,,,,,
2024,AZ,99999.0,Adjustment 2024,WALC,,-1.288,0,,,-1.288,,,,,
2024,CA,57313.0,Tesla Inc.,BANC,DC,56.076,8.863,,,64.939,9948,22,,,9970
2024,CA,57313.0,Tesla Inc.,CISO,DC,708.731,276.608,,,985.339,126771,6233,,,133004
2024,CA,57313.0,Tesla Inc.,IID,DC,10.554,0.589,,,11.143,1356,1,,,1357
2024,CA,57313.0,Tesla Inc.,LDWP,DC,47.093,0.726,,,47.819,8959,71,,,9030
2024,CA,57313.0,Tesla Inc.,PACW,DC,0.008,0.296,,,0.304,2,1,,,3
2024,CA,57313.0,Tesla Inc.,TIDC,DC,2.695,0.413,,,3.108,404,1,,,405
2024,CA,57313.0,Tesla Inc.,WALC,DC,0.011,0,,,0.011,1,0,,,1
2024,CA,59086.0,"Constellation Solar Holding, LLC",CISO,DC,0,63.6,0.71,0,64.31,0,248,1,0,249
2024,CA,59579.0,Sunnova,BANC,DC,1.461,,,,1.461,286,,,,286
2024,CA,59579.0,Sunnova,CISO,DC,282.471,,,,282.471,55375,,,,55375
2024,CA,59579.0,Sunnova,IID,DC,0.329,,,,0.329,64,,,,64
2024,CA,59579.0,Sunnova,LDWP,DC,6.184,,,,6.184,1213,,,,1213
2024,CA,59579.0,Sunnova,TIDC,DC,0.436,,,,0.436,86,,,,86
2024,CA,59580.0,"SunPower Capital, LLC",BANC,AC,21.54,,,,21.54,3072,,,,3072
2024,CA,59580.0,"SunPower Capital, LLC",CISO,AC,373.41,,,,373.41,61800,,,,61800
2024,CA,59580.0,"SunPower Capital, LLC",IID,AC,8.33,,,,8.33,1070,,,,1070
2024,CA,59580.0,"SunPower Capital, LLC",LDWP,AC,25.48,,,,25.48,3501,,,,3501
2024,CA,59580.0,"SunPower Capital, LLC",NEVP,AC,0.05,,,,0.05,8,,,,8
2024,CA,59580.0,"SunPower Capital, LLC",PACW,AC,0.27,,,,0.27,43,,,,43
2024,CA,59580.0,"SunPower Capital, LLC",TIDC,AC,1.12,,,,1.12,177,,,,177
2024,CA,59580.0,"SunPower Capital, LLC",WALC,AC,0.03,,,,0.03,4,,,,4
2024,CA,59647.0,Sunrun Inc.,BANC,DC,54.177,,,,54.177,9350,,,,9350
2024,CA,59647.0,Sunrun Inc.,CISO,DC,2051.204,,,,2051.204,329659,,,,329659
2024,CA,59647.0,Sunrun Inc.,IID,DC,6.904,,,,6.904,1134,,,,1134
2024,CA,59647.0,Sunrun Inc.,LDWP,DC,42.816,,,,42.816,6730,,,,6730
2024,CA,59647.0,Sunrun Inc.,TIDC,DC,0.568,,,,0.568,116,,,,116
2024,CA,59943.0,Spruce Finance,CISO,AC,155.226,0,0,0,155.226,25222,0,0,0,25222
2024,CA,60025.0,Greenbacker Renewable Energy Corporation,CISO,AC,0,8.92,0,0,8.92,0,16,0,0,16
2024,CA,60981.0,"TerraForm US Energy Services, LLC",CISO,AC,,22.792,,,22.792,,81,,,81
2024,CA,61823.0,"Greenskies Renewable Energy, LLC",CISO,DC,,14.949,,,14.949,,14,,,14
2024,CA,65242.0,"Scale Sustainable I, LLC",CISO,DC,,1.28,,,1.28,,2,,,2
2024,CA,66026.0,"Palmetto Solar, LLC",CISO,DC,18.441,,,,18.441,2690,,,,2690
2024,CA,66026.0,"Palmetto Solar, LLC",LDWP,DC,2.201,,,,2.201,291,,,,291
2024,CA,66036.0,"EverBright, LLC",CISO,AC,98.945,,,,98.945,19777,,,,19777
2024,CA,99999.0,Adjustment 2024,BANC,,-19.483,-1.546,,,-21.029,,,,,
2024,CA,99999.0,Adjustment 2024,CISO,,-533.812,-62.163,-0.124,0,-596.098,,,,,
2024,CA,99999.0,Adjustment 2024,IID,,-3.102,-0.103,,,-3.205,,,,,
2024,CA,99999.0,Adjustment 2024,LDWP,,-17.142,-0.127,,,-17.269,,,,,
2024,CA,99999.0,Adjustment 2024,PACW,,-0.001,-0.052,,,-0.053,,,,,
2024,CA,99999.0,Adjustment 2024,TIDC,,-0.645,-0.072,,,-0.717,,,,,
2024,CA,99999.0,Adjustment 2024,WALC,,-0.002,0,,,-0.002,,,,,
2024,CO,57313.0,Tesla Inc.,PSCO,DC,76.445,9.405,,,85.85,12848,62,,,12910
2024,CO,57313.0,Tesla Inc.,WACM,DC,0.1,6.407,,,6.507,19,939,,,958
2024,CO,59579.0,Sunnova,PSCO,DC,24.463,,,,24.463,6008,,,,6008
2024,CO,59579.0,Sunnova,WACM,DC,0.269,,,,0.269,66,,,,66
2024,CO,59580.0,"SunPower Capital, LLC",PSCO,AC,8.59,,,,8.59,1242,,,,1242
2024,CO,59580.0,"SunPower Capital, LLC",WACM,AC,0.56,,,,0.56,81,,,,81
2024,CO,59647.0,Sunrun Inc.,PSCO,DC,60.797,,,,60.797,8961,,,,8961
2024,CO,59647.0,Sunrun Inc.,WACM,DC,2.095,,,,2.095,271,,,,271
2024,CO,59943.0,Spruce Finance,PACE,AC,6.923,0,0,0,6.923,1043,0,0,0,1043
2024,CO,60025.0,Greenbacker Renewable Energy Corporation,PSCO,AC,0.06,4.26,0,0,4.32,10,29,0,0,39
2024,CO,60981.0,"TerraForm US Energy Services, LLC",PSCO,AC,,1.218,,,1.218,,13,,,13
2024,CO,61823.0,"Greenskies Renewable Energy, LLC",WACM,DC,,1.453,,,1.453,,3,,,3
2024,CO,65242.0,"Scale Sustainable I, LLC",PSCO,DC,,2.24,,,2.24,,4,,,4
2024,CO,66026.0,"Palmetto Solar, LLC",PSCO,DC,3.99,,,,3.99,595,,,,595
2024,CO,66026.0,"Palmetto Solar, LLC",WACM,DC,0.767,,,,0.767,112,,,,112
2024,CO,66036.0,"EverBright, LLC",PSCO,AC,2.848,,,,2.848,474,,,,474
2024,CO,99999.0,Adjustment 2024,PSCO,,-28.897,-2.031,,,-30.928,,,,,
