data_year,utility_number,utility_name,state,utility_characteristics_ownership_type,utility_characteristics_nerc_region,also_operating_in_other_nerc_regions_tre,also_operating_in_other_nerc_regions_frcc,also_operating_in_other_nerc_regions_mro,also_operating_in_other_nerc_regions_npcc,also_operating_in_other_nerc_regions_rfc,also_operating_in_other_nerc_regions_serc,also_operating_in_other_nerc_regions_spp,also_operating_in_other_nerc_regions_wecc,operating_in_these_rtos_caiso,operating_in_these_rtos_ercot,operating_in_these_rtos_pjm,operating_in_these_rtos_nyiso,operating_in_these_rtos_spp,operating_in_these_rtos_miso,operating_in_these_rtos_isone,operating_in_these_rtos_other,other_activities_generation,other_activities_transmission,other_activities_buying_transmission,other_activities_distribution,other_activities_buying_distribution,other_activities_wholesale_marketing,other_activities_retail_marketing,other_activities_bundled,other_activities_alt_fuel_vehicle,other_activities_alt_fuel_vehicle_2
2024,1366,City of Bay City - (MI),MI,Municipal,RFC,,,,,Y,,,,,,N,,,Y,,,Y,,Y,Y,,N,,,,
2024,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,N,,N,
2024,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,Y,Y
2024,1572,Badger Power Marketing Authority,WI,Wholesale Power Marketer,RFC,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2024,1578,Benton County,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,N,Y,Y
2024,1581,City of Benton - (AR),AR,Municipal,SERC,,,,,,Y,,,,,,,,Y,,N,Y,,,Y,,,,,N,
2024,1582,City of Benton - (KY),KY,Municipal,SERC,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1586,City of Bentonville - (AR),AR,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,N,N,Y,,,,,N,
2024,1591,"Big Country Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,Y,,N,Y,,,Y,,,Y,,N,,Y,,,,,N,N
2024,1611,"Messer Energy Services, Inc.",PA,Retail Power Marketer,RFC,,,,Y,Y,Y,,,,,Y,Y,,Y,Y,,,,,,,,Y,,,
2024,1613,Berkeley Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1625,Benton Rural Electric Assn,WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,Y,,Y,,,,,,
2024,1640,City of Bessemer Utilities,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1692,Big Rivers Electric Corp,KY,Cooperative,SERC,N,,,,N,Y,,,,,,,,Y,,,Y,Y,Y,,,Y,,,,
2024,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,
2024,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,WECC,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,N,
2024,1738,Bonneville Power Administration,OR,Federal,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,N,,Y,,,Y,Y
2024,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2024,1764,Black Diamond Power Co,WV,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,N,
2024,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,WECC,,,,,,,N,Y,,,,,Y,,,,,N,Y,Y,,,,,,
2024,1775,Black River Electric Coop - (MO),MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,N,
2024,1776,City of Black River Falls,WI,Municipal,MISO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,,Y,Y
2024,1780,Black Warrior Elec Member Corp,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,N,Y,,,,,,
2024,1857,Block Island Utility District,RI,Political Subdivision,NPCC,,,,Y,,,,,,,,,,,Y,N,Y,N,,Y,,,,,N,
2024,1884,BENCO Electric Cooperative,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2024,1886,Blue Grass Energy Coop Corp,KY,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,,Y,Y
2024,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,Y,Y
2024,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1891,Blue Ridge Mountain EMC - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,TRE,Y,,,,,,,,,Y,,,,,,,,Y,Y,Y,,,,,Y,Y
2024,1896,City of Bluffton - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,N,N,,,Y,,,,Y,N,
2024,1936,Bolivar Energy Authority,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,1997,City of Boscobel - (WI),WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2024,2001,Boone Electric Coop,MO,Cooperative,SERC,,,,,,Y,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2024,2008,City of Boulder City - (NV),NV,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,,Y,,Y,,,,Y,Y,Y
2024,2010,City of Bountiful,UT,Municipal,WECC,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,
2024,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,Y,,Y,Y,,Y,,,
2024,2054,City of Bowling Green - (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,Y,N,N
2024,2056,City of Bowling Green - (KY),KY,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,2089,Bozrah Light & Power Company,CT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,Y,Y
2024,2138,Brainerd Public Utilities,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2024,2144,Town of Braintree - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,N,N,N,Y,Y
2024,2152,Powerex Corporation,CN,Wholesale Power Marketer,WECC,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,
2024,2194,City of Brenham - (TX),TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,,,,Y,,,,,Y,Y
2024,2212,"Broad River Electric Coop, Inc",SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,,,Y,,,,,,
2024,2247,City of Bristol - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,2248,Bristol Virginia Utilities,VA,Municipal,SERC,,,,,N,Y,,,,,,,,,,,,,,Y,,,,Y,N,N
2024,2273,Brodhead Water & Lighting Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2024,2285,City of Brookings - (SD),SD,Municipal,MRO,,,Y,,,,,,,,,,Y,N,,,,,,Y,,,,,,
2024,2394,Burke-Divide Electric Coop Inc,ND,Cooperative,MRO,,,Y,,,,N,,,,,,Y,,,N,,Y,,Y,,,,,Y,Y
2024,2409,Brownsville Public Utilities Board,TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,Y,,
2024,2411,City of Brownsville,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,2442,City of Bryan - (TX),TX,Municipal,TRE,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,Y,,Y,,,,
2024,2481,Cargill Power Markets LLC,MN,Wholesale Power Marketer,MRO,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,N,,,
2024,2487,City of Buford,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,Y,,
2024,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,RFC,N,,,,Y,,,,,,Y,,,,,,,,N,Y,N,,,,N,
2024,2507,City of Burbank Water and Power,CA,Municipal,WECC,,,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2024,2548,City of Burlington Electric - (VT),VT,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,,,Y,Y
2024,2643,Butler Public Power District - (NE),NE,Political Subdivision,MRO,,,,,,,N,,,,,,Y,,,,,N,,Y,,,,,,
2024,2651,Butler Rural Electric Coop Inc - (OH),OH,Cooperative,RFC,,,,,Y,,,,,,Y,,,N,,,,,,Y,,,,,Y,Y
2024,2652,Butler County Rural Elec Coop - (IA),IA,Cooperative,MRO,,,Y,,,,,,,,,,Y,,,N,,,,Y,,,,,,
2024,2678,C & L Electric Coop Corp,AR,Cooperative,SPP,,,,,,N,Y,,,,,,Y,,,,,,,Y,,,,,,
2024,2774,CMS Electric Coop Inc,KS,Cooperative,SPP,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,,N,
2024,2812,City of Calhoun - (GA),GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,N,,,Y,,,Y,Y,,
2024,2830,Calpine Power America LLC,TX,Retail Power Marketer,TRE,N,,,,,,,,Y,Y,,,,,Y,,,,Y,,Y,,Y,,,
2024,2849,Central Electric Power Assn - (MS),MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,2857,Calpine Energy Services LP,TX,Wholesale Power Marketer,,N,N,N,N,N,N,N,N,,,,,,,,,,,Y,,,Y,,,,
2024,2903,Canoochee Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2024,2911,"Canadian Valley Elec Coop, Inc",OK,Cooperative,SPP,,,,,,,N,,,,,,,,,,,,,Y,,,,,,
2024,2960,"Caney Fork Electric Coop, Inc",TN,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,2985,"Capital Electric Coop, Inc",ND,Cooperative,MRO,,,N,,,,Y,,,,,,Y,Y,,N,,N,,Y,,,,,Y,Y
2024,3046,Duke Energy Progress - (NC),NC,Investor Owned,SERC,N,,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,Y,Y
2024,3075,Carroll County - (TN),TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,3081,Carroll Electric Member Corp - (GA),GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2024,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,SPP,,,,,,,Y,,,,,,Y,Y,,,,N,,Y,,,,,Y,Y
2024,3107,Carteret-Craven El Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,Y,Y,Y,,,,N,,
2024,3108,City of Cartersville - (GA),GA,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,3113,City of Carthage - (MO),MO,Municipal,SPP,,,Y,,,,Y,,,,,,Y,N,,,Y,,Y,Y,,,,,N,
2024,3203,Cedar Falls Utilities,IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,,Y,Y,Y
2024,3205,Cedar-Knox Public Power Dist,NE,Political Subdivision,MRO,,,Y,,,,,,,,,,Y,,,,,,,Y,,,,,Y,Y
2024,3208,Cedarburg Light & Water Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,Y,Y
2024,3216,City of Celina - (OH),OH,Municipal,RFC,N,,,,Y,,,,,,,,,,,Y,,,,Y,,,,,,
2024,3222,Central Alabama Electric Coop,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2024,3226,"Central Rural Electric Cooperative, Inc",OK,Cooperative,,,,,,,N,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2024,3236,"Central Electric Coop, Inc - (SD)",SD,Cooperative,MRO,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2024,3240,Central Electric Coop Inc - (OR),OR,Cooperative,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,Y,Y
2024,3242,Central Electric Power Coop - (MO),MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,N,Y,,,,,,,,
2024,3245,"Central Florida Elec Coop, Inc",FL,Cooperative,FRCC,,Y,,,,,,,,,,,,,,Y,,N,,Y,,,,,,
2024,3248,Central Georgia El Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
2024,3249,Central Hudson Gas & Elec Corp,NY,Investor Owned,NPCC,,,,Y,,,,,,,,Y,,,,,Y,Y,,Y,,Y,,Y,Y,Y
2024,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2024,3255,California Dept. of Water Resources,CA,State,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,N,,,Y,,Y,Y,Y
2024,3258,Central Iowa Power Cooperative,IA,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,,,,,,,
2024,3264,Central Lincoln People's Ut Dt,OR,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,Y,Y
2024,3265,Cleco Power LLC,LA,Investor Owned,SPP,,,,,,,Y,,,,,,,Y,,,Y,Y,Y,Y,,Y,Y,,N,
2024,3266,Central Maine Power Co,ME,Investor Owned,NPCC,,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,,,,,Y,Y
2024,3268,Central Missouri Elec Coop Inc,MO,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2024,3271,Central Nebraska Pub P&I Dist,NE,Political Subdivision,MRO,,,Y,,,,,,,,,,Y,,,,Y,Y,,,,Y,,,,
2024,3273,"Central New Mexico El Coop, Inc",NM,Cooperative,WECC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2024,3278,AEP Texas Central Company,OK,Investor Owned,TRE,Y,,,,,,,,,Y,,,,,,,N,Y,Y,Y,,N,,,Y,Y
