data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,5582,City of East Point - (GA),GA,20,
2024,5585,Eastern Illinois Elec Coop,IL,76,76
2024,5588,East-Central Iowa Rural Elec Coop,IA,72,72
2024,5598,East Central Oklahoma Elec Coop Inc,OK,82,68
2024,5605,Eastern Iowa Light & Power Coop,IA,175,0
2024,5609,Eastern Maine Electric Coop,ME,20,0
2024,5625,Easton Utilities Comm,MD,16,16
2024,5644,"Edisto Electric Coop, Inc",SC,68,0
2024,5656,Edgecombe-Martin County E M C,NC,38,34
2024,5661,City of Edmond - (OK),OK,32,
2024,5701,El Paso Electric Co,NM,65,43
2024,5701,El Paso Electric Co,TX,317,297
2024,5760,City of Elizabeth City - (NC),NC,26,
2024,5763,City of Elizabethton - (TN),TN,35,35
2024,5773,City of Elk River,MN,34,
2024,5780,Elkhorn Rural Public Pwr Dist,NE,93,78
2024,5832,Elmhurst Mutual Power & Light Co,WA,19,19
2024,5860,Empire District Electric Co,AR,10,
2024,5860,Empire District Electric Co,KS,21,
2024,5860,Empire District Electric Co,MO,278,
2024,5860,Empire District Electric Co,OK,13,
2024,5862,"Empire Electric Assn, Inc",CO,71,63
2024,5862,"Empire Electric Assn, Inc",UT,3,3
2024,5905,Excelsior Electric Member Corp,GA,38,0
2024,5929,"Fairfield Electric Coop, Inc",SC,65,
2024,5930,Village of Fairport - (NY),NY,30,
2024,5961,Town of Erwin - (TN),TN,9,9
2024,5964,"Escambia River Elec Coop, Inc",FL,29,0
2024,5969,City of Escondido - (CA),CA,1,
2024,6008,City of Etowah,TN,7,0
2024,6022,City of Eugene - (OR),OR,163,0
2024,6043,City of Evansville,WI,9,0
2024,6149,City of Ellensburg - (WA),WA,18,0
2024,6169,Fall River Rural Elec Coop Inc,ID,64,0
2024,6169,Fall River Rural Elec Coop Inc,MT,10,0
2024,6169,Fall River Rural Elec Coop Inc,WY,5,0
2024,6173,Fannin County Electric Coop,TX,15,0
2024,6181,"Farmers Electric Coop, Inc - (MO)",MO,64,0
2024,6182,"Farmers Electric Coop, Inc - (TX)",TX,89,0
2024,6183,"Fayette Electric Coop, Inc",TX,27,0
2024,6194,Farmers Rural Electric Coop Corp - (KY),KY,68,
2024,6198,"Farmers Electric Coop, Inc - (NM)",NM,45,45
2024,6204,City of Farmington - (NM),NM,65,
2024,6205,City of Farmington - (MO),MO,27,0
2024,6207,Farmington River Power Company,CT,1,
2024,6234,City of Fayetteville,TN,39,0
2024,6235,Fayetteville Public Works Commission,NC,156,143
2024,6258,Federated Rural Electric Assn,IA,6,0
2024,6258,Federated Rural Electric Assn,MN,65,0
2024,6342,First Electric Coop Corp,AR,155,155
2024,6369,Fishers Island Utility Co Inc,NY,3,0
2024,6374,Fitchburg Gas & Elec Light Co,MA,38,10
2024,6395,Flathead Electric Coop Inc,MT,89,0
2024,6411,Flint Electric Membership Corp,GA,181,
2024,6422,City of Florence - (AL),AL,138,0
2024,6424,Florence Utility Comm,WI,6,0
2024,6427,City of Floresville,TX,20,20
2024,6442,Fleming-Mason Energy Coop Inc,KY,54,
2024,6443,"Florida Keys El Coop Assn, Inc",FL,25,23
2024,6452,Florida Power & Light Co,FL,3909,3158
2024,6455,"Duke Energy Florida, LLC",FL,1366,1192
2024,6457,Florida Public Utilities Co,FL,29,0
2024,6491,Foley Board of Utilities,AL,68,68
2024,6582,City of Forest Grove,OR,16,0
2024,6604,City of Fort Collins - (CO),CO,87,
2024,6608,Fort Loudoun Electric Coop,TN,61,51
2024,6610,City of Fort Morgan,CO,21,21
2024,6612,Fort Payne Improvement Authority,AL,34,34
2024,6616,Fort Pierce Utilities Authority,FL,36,34
2024,6638,City of Fountain,CO,10,10
2024,6640,Four County Elec Member Corp,NC,104,0
2024,6641,4-County Electric Power Assn,MS,102,0
2024,6707,City of Frankfort - (IN),IN,10,6
2024,6708,City of Frankfort - (KY),KY,49,
2024,6709,Easley Combined Utility System,SC,25,0
2024,6716,PUD No 1 of Franklin County,WA,102,0
2024,6717,Franklin Electric Coop - (AL),AL,13,0
2024,6718,City of Franklin - (KY),KY,12,0
2024,6775,Village of Freeport - (NY),NY,25,
2024,6779,City of Fremont - (NE),NE,30,0
2024,6782,Freeborn Mower Electric Cooperative,IA,1,0
2024,6782,Freeborn Mower Electric Cooperative,MN,83,32
2024,6784,French Broad Elec Member Corp,NC,79,2
2024,6784,French Broad Elec Member Corp,TN,2,
2024,6840,City of Fulton - (KY),KY,7,7
2024,6894,City of Gaffney - (SC),SC,14,14
2024,6909,Gainesville Regional Utilities,FL,72,60
2024,6923,City of Gallatin - (TN),TN,24,0
2024,6941,City of Garden City,KS,47,14
2024,6957,"Garkane Energy Coop, Inc",AZ,8,
2024,6957,"Garkane Energy Coop, Inc",UT,48,
2024,6958,City of Garland - (TX),TX,98,98
2024,7024,Gascosage Electric Coop,MO,35,
2024,7027,City of Gastonia - (NC),NC,58,
2024,7090,GreyStone Power Corporation,GA,145,
2024,7096,City of Geneva- (IL),IL,33,
2024,7129,City of Georgetown - (TX),TX,39,24
2024,7140,Georgia Power Co,GA,2796,2224
2024,7174,Gibson Electric Members Corp,KY,6,0
2024,7174,Gibson Electric Members Corp,TN,81,81
2024,7222,City of Gillette - (WY),WY,29,0
2024,7264,"Glades Electric Coop, Inc",FL,43,0
2024,7265,City of Gladstone,MI,5,0
2024,7270,City of Glasgow - (KY),KY,23,14
2024,7292,Glencoe Light & Power Comm,MN,25,25
2024,7294,City of Glendale - (CA),CA,102,40
2024,7353,Golden Valley Elec Assn Inc,AK,72,0
2024,7450,Grady Electric Membership Corp,GA,44,
2024,7483,City of Grand Haven - (MI),MI,16,16
2024,7490,Grand River Dam Authority,OK,24,0
2024,7548,PUD No 1 of Grays Harbor County,WA,88,0
2024,7558,Grayson Rural Electric Coop Corp,KY,43,0
2024,7559,"Grayson-Collin Elec Coop, Inc",TX,99,
2024,7561,"Greenbelt Electric Coop, Inc",TX,27,23
2024,7563,Grand Valley Power,CO,29,
2024,7601,Green Mountain Power Corp,VT,289,0
2024,7625,City of Greeneville - (TN),TN,71,0
2024,7627,City of Greenfield - (IN),IN,22,22
2024,7634,City of Greenville - (TX),TX,40,40
2024,7639,Greenville Utilities Comm,NC,115,86
2024,7646,Greenwood CPW,SC,24,0
2024,7651,Greenwood Utilities Comm,MS,19,18
2024,7654,Greer Commission of Public Wks,SC,30,0
2024,7679,City of Griffin - (GA),GA,26,
2024,7716,Groton Dept of Utilities - (CT),CT,27,0
2024,7752,Guadalupe Valley Elec Coop Inc,TX,153,153
2024,7785,"Gulf Coast Electric Coop, Inc",FL,37,
2024,7827,Guntersville Electric Board,AL,17,0
2024,7887,Habersham Electric Membership Corp,GA,58,0
2024,7891,Guernsey-Muskingum El Coop Inc,OH,38,0
2024,7908,Hagerstown Light Department,MD,23,0
2024,7977,City of Hamilton - (OH),OH,54,
2024,7979,Hamilton County Elec Coop Assn,TX,29,
2024,8000,NineStar Connect,IN,32,0
2024,8034,Hancock-Wood Electric Coop Inc,OH,60,0
2024,8055,City of Hannibal - (MO),MO,17,0
2024,8147,City of Harriman - (TN),TN,16,0
2024,8179,Harrison County Rural E M C,IN,53,53
2024,8198,City of Harrisonburg - (VA),VA,28,
2024,8210,Hart Electric Member Corp,GA,79,79
2024,8212,Hartford Electric,WI,25,25
2024,8226,City of Hartselle,AL,12,0
2024,8245,City of Hastings - (NE),NE,42,28
2024,8287,Hawaii Electric Light Co Inc,HI,167,0
2024,8319,Heartland Power Coop,IA,60,1
2024,8319,Heartland Power Coop,MN,7,0
2024,8333,Haywood Electric Member Corp,GA,1,
2024,8333,Haywood Electric Member Corp,NC,38,
2024,8333,Haywood Electric Member Corp,SC,1,
2024,8447,Hendricks County Rural E M C,IN,72,0
2024,8449,Henderson City Utility Comm,KY,38,0
2024,8548,City of Hickman,KY,3,0
2024,8566,High Plains Power Inc,WY,99,0
2024,8570,Highline Electric Assn,CO,67,67
2024,8570,Highline Electric Assn,NE,20,20
2024,8571,Town of High Point,NC,92,92
2024,8620,"HILCO Electric Cooperative, Inc.",TX,44,0
2024,8699,Inland Power & Light Company,ID,3,0
2024,8699,Inland Power & Light Company,WA,99,0
2024,8723,City of Holland,MI,74,0
2024,8748,City of Holly Springs,MS,20,0
2024,8761,Holmes-Wayne Electric Coop Inc,OH,50,34
2024,8764,"Holston Electric Coop, Inc",TN,36,0
2024,8773,"Holy Cross Electric Assn, Inc",CO,56,0
2024,8774,City of Holyoke - (MA),MA,47,0
2024,8786,Horry Electric Coop Inc,SC,128,0
2024,8795,City of Homestead - (FL),FL,19,0
2024,8840,City of Hope - (AR),AR,20,0
2024,8846,City of Hopkinsville,KY,20,20
2024,8883,Houlton Water Company,ME,1,0
2024,8884,Terrebonne Parish Consol Gov't,LA,26,4
2024,8898,Houston County Elec Coop Inc,TX,45,45
2024,8901,CenterPoint Energy,TX,1862,
2024,8934,"Howell-Oregon Elec Coop, Inc",MO,79,64
2024,8973,Town of Hudson - (MA),MA,13,11
2024,9023,City of Humboldt,TN,15,0
2024,9087,Town of Huntersville - (NC),NC,16,0
2024,9094,City of Huntsville - (AL),AL,282,0
2024,9096,City of Lafayette - (LA),LA,91,
2024,9124,Hustisford Utilities,WI,3,0
2024,9130,Hutchinson Utilities Comm,MN,13,13
2024,9187,City of Idaho Falls - (ID),ID,46,0
2024,9191,Idaho Power Co,ID,655,453
2024,9191,Idaho Power Co,OR,92,42
2024,9216,Imperial Irrigation District,CA,330,0
